Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Customer Segment,Product Category,company
10/13/2010,Low,6,261.54,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Small Business,Office Supplies,A
10/1/2012,High,49,10123.02,Delivery Truck,457.81,208.16,68.02,Barry French,Consumer,Office Supplies,A
10/1/2012,High,27,244.57,Regular Air,46.71,8.69,2.99,Barry French,Consumer,Office Supplies,A
7/10/2011,High,30,4965.7595,Regular Air,1198.97,195.99,3.99,Clay Rozendal,Corporate,Technology,A
8/28/2010,Not Specified,19,394.27,Regular Air,30.94,21.78,5.94,Carlos Soltero,Consumer,Office Supplies,A
8/28/2010,Not Specified,21,146.69,Regular Air,4.43,6.64,4.95,Carlos Soltero,Consumer,Furniture,A
6/17/2011,High,12,93.54,Regular Air,-54.04,7.3,7.72,Carl Jackson,Corporate,Office Supplies,A
6/17/2011,High,22,905.08,Regular Air,127.7,42.76,6.22,Carl Jackson,Corporate,Office Supplies,A
3/24/2011,High,21,2781.82,Express Air,-695.26,138.14,35,Monica Federle,Corporate,Office Supplies,A
2/26/2010,Low,44,228.41,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Home Office,Office Supplies,A
11/23/2010,Medium,45,196.85,Regular Air,-166.85,4.28,6.18,Neola Schneider,Home Office,Office Supplies,A
11/23/2010,Medium,32,124.56,Regular Air,-14.33,3.95,2,Neola Schneider,Home Office,Office Supplies,A
6/8/2012,Not Specified,32,716.84,Regular Air,134.72,21.78,5.94,Carlos Daly,Home Office,Office Supplies,A
6/8/2012,Not Specified,31,1474.33,Regular Air,114.46,47.98,3.61,Carlos Daly,Home Office,Technology,A
8/4/2012,Not Specified,15,80.61,Regular Air,-4.72,5.28,2.99,Claudia Miner,Small Business,Office Supplies,A
5/30/2011,Medium,46,1815.49,Regular Air,782.91,39.89,3.04,Neola Schneider,Home Office,Furniture,A
11/25/2009,Not Specified,16,248.26,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Small Business,Office Supplies,A
2/14/2012,Critical,44,4462.23,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Home Office,Furniture,A
2/14/2012,Critical,11,663.784,Regular Air,-481.04,71.37,69,Sylvia Foulston,Home Office,Furniture,A
4/15/2012,Low,15,834.904,Regular Air,-11.68,65.99,5.26,Jim Radford,Corporate,Technology,A
4/15/2012,Low,18,2480.9205,Regular Air,313.58,155.99,8.99,Jim Radford,Corporate,Technology,A
3/12/2010,Not Specified,13,59.03,Express Air,26.92,3.69,0.5,Carlos Soltero,Consumer,Office Supplies,A
3/12/2010,Not Specified,21,97.48,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Consumer,Office Supplies,A
3/9/2011,Low,33,511.83,Regular Air,-172.88,15.99,13.18,Carl Ludwig,Corporate,Office Supplies,A
3/9/2011,Low,38,184.99,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Corporate,Technology,A
8/4/2012,High,30,80.9,Regular Air,5.76,2.88,0.7,Don Miller,Home Office,Office Supplies,A
5/6/2011,High,23,67.24,Regular Air,4.9,2.84,0.93,Annie Cyprus,Home Office,Office Supplies,A
12/23/2010,High,25,12028.23,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Corporate,Technology,A
11/8/2010,Low,28,370.48,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Consumer,Office Supplies,A
10/21/2012,Not Specified,49,278,Regular Air,41.67,6.08,1.17,Grant Carroll,Small Business,Office Supplies,A
1/1/2011,Not Specified,10,66.54,Regular Air,-46.03,5.98,4.38,Don Miller,Home Office,Technology,A
1/1/2011,Not Specified,21,845.32,Regular Air,33.67,40.99,19.99,Don Miller,Home Office,Office Supplies,A
10/10/2011,High,39,282.07,Regular Air,140.01,7.31,0.49,Alan Barnes,Corporate,Office Supplies,A
10/10/2011,High,24,426.037,Regular Air,-78.96,20.99,2.5,Alan Barnes,Corporate,Technology,A
9/23/2010,Low,27,1078.49,Regular Air,252.66,40.96,1.99,Jack Garza,Corporate,Technology,A
7/19/2011,Critical,39,3554.46,Delivery Truck,-1766.01,95.95,74.35,Julia West,Corporate,Furniture,A
10/9/2009,High,47,191.67,Regular Air,-236.27,3.89,7.01,Eugene Barchas,Corporate,Office Supplies,A
10/9/2009,High,49,5586.33,Delivery Truck,80.44,120.98,30,Eugene Barchas,Corporate,Furniture,A
10/9/2009,High,18,507.64,Regular Air,118.94,30.98,5.76,Eugene Barchas,Corporate,Office Supplies,A
12/9/2010,Not Specified,30,14223.82,Delivery Truck,3424.22,500.98,26,Edward Hooks,Consumer,Furniture,A
10/8/2012,Critical,5,42.66,Regular Air,-11.83,7.84,4.71,Brad Eason,Small Business,Office Supplies,A
5/2/2012,High,21,427.32,Regular Air,52.35,18.97,9.03,NA,Small Business,Office Supplies,A
3/8/2010,Medium,8,820.284,Regular Air,-180.2,115.99,2.5,Dorothy Wardle,Corporate,Technology,A
5/28/2011,Not Specified,5,14.76,Regular Air,1.32,2.88,0.5,Aaron Bergman,Corporate,Office Supplies,A
9/19/2010,Medium,9,89.55,Regular Air,-375.64,4.48,49,Jim Radford,Corporate,Office Supplies,A
8/31/2011,High,11,1210.0515,Regular Air,-104.25,125.99,7.69,Annie Cyprus,Home Office,Technology,A
8/31/2011,High,50,187.83,Regular Air,85.96,3.75,0.5,Annie Cyprus,Home Office,Office Supplies,A
8/31/2011,High,3,49.59,Express Air,-8.38,12.28,6.47,Annie Cyprus,Home Office,Office Supplies,A
8/31/2011,High,30,4253.009,Regular Air,1115.69,155.99,8.99,Annie Cyprus,Home Office,Technology,A
7/8/2011,Not Specified,7,59.38,Regular Air,-3.05,8.69,2.99,Annie Cyprus,Home Office,Office Supplies,A
1/30/2009,Critical,42,1285.37,Regular Air,514.07,31.78,1.99,Clay Rozendal,Corporate,Technology,A
1/8/2012,Low,11,48.91,Regular Air,-7.04,3.98,2.97,Don Jones,Corporate,Office Supplies,A
11/7/2010,Critical,22,129.62,Regular Air,4.41,5.88,3.04,Beth Thompson,Corporate,Office Supplies,A
4/29/2010,Not Specified,12,118.97,Regular Air,-0.06,9.65,6.22,Frank Price,Corporate,Furniture,A
